Team,Date,League,Opponent,Attendance
Manchester Utd,17/8/2025,Premier,Arsenal,73475
Manchester Utd,30/8/2025,Premier,Burnley,74257
Manchester Utd,20/9/2025,Premier,Chelsea,74124
West Ham,22/8/2025,Premier,Chelsea,62462
West Ham,13/9/2025,Premier,Tottenham,62459
West Ham,20/9/2025,Premier,Crystal Palace,62455
Tottenham,16/8/2025,Premier,Burnley,61077
Tottenham,30/8/2025,Premier,Bournemouth,61250
Tottenham,16/9/2025,International,Villarreal,54755
Tottenham,24/9/2025,International,Doncaster Rovers,42473
Tottenham,27/9/2025,Premier,Wolverhampton Wanderers,60537
Liverpool,15/8/2025,Premier,Bournemouth,60315
Liverpool,31/8/2025,Premier,Arsenal,60455
Liverpool,17/9/2025,International,AtlÈtico Madrid,59507
Liverpool,20/9/2025,Premier,Everton,60342
Liverpool,23/9/2025,Premier,Southampton,59518
Arsenal,23/8/2025,Premier,Leeds United,60110
Arsenal,13/9/2025,Premier,Nottingham Forest,60167
Arsenal,21/9/2025,Premier,Manchester City,60161
Manchester City,1/7/2025,International,Al Hilal,42311
Manchester City,23/8/2025,Premier,Tottenham,51785
Manchester City,14/9/2025,Premier,Manchester United,52534
Manchester City,18/9/2025,International,Napoli,49531
Manchester City,27/9/2025,Premier,Burnley,52427
Newcastle United,25/8/2025,Premier,Liverpool,52230
Newcastle United,13/9/2025,Premier,Wolverhampton Wanderers,52145
Newcastle United,18/9/2025,International,Barcelona,52084
Newcastle United,24/9/2025,Exhibition,Bradford City,51249
Newcastle United,28/9/2025,Premier,Arsenal,52199
Everton,24/8/2025,Premier,Brighton & Hove Albion,51759
Everton,27/8/2025,Exhibition,Mansfield Town,48583
Everton,13/9/2025,Premier,Aston Villa,52114
Everton,29/9/2025,Premier,West Ham United,51890
Sunderland,16/8/2025,Premier,West Ham United,46233
Sunderland,26/8/2025,Exhibition,Huddersfield Town,22249
Sunderland,30/8/2025,Premier,Brentford,46267
Sunderland,21/9/2025,Premier,Aston Villa,46261
Aston Villa,16/8/2025,Premier,Newcastle United,42526
Aston Villa,31/8/2025,Premier,Crystal Palace,41036
Aston Villa,25/9/2025,International,Bologna,30909
Aston Villa,28/9/2025,Premier,Fulham,40350
Chelsea,16/6/2025,International,Los Angeles,22137
Chelsea,17/8/2025,Premier,Crystal Palace,39678
Chelsea,30/8/2025,Premier,Fulham,39745
Chelsea,27/9/2025,Premier,Brighton & Hove Albion,39597
Chelsea,30/9/2025,International,Benfica,38636
Leeds United,18/8/2025,Premier,Everton,36820
Leeds United,30/8/2025,Premier,Newcastle United,36727
Leeds United,27/9/2025,Premier,Bournemouth,36574
Brighton,16/8/2025,Premier,Fulham,31478
Brighton,31/8/2025,Premier,Manchester City,31485
Brighton,20/9/2025,Premier,Tottenham,31488
Wolves,16/8/2025,Premier,Manchester City,31118
Wolves,26/8/2025,Premier,West Ham United,19561
Wolves,30/8/2025,Premier,Everton,30271
Wolves,20/9/2025,Premier,Leeds United,30807
Wolves,23/9/2025,Premier,Everton,18758
Nottingham Forest,17/8/2025,Premier,Brentford,29949
Nottingham Forest,31/8/2025,Premier,West Ham United,30215
Nottingham Forest,27/9/2025,Premier,Sunderland,30226
Fulham,24/8/2025,Premier,Manchester United,27512
Fulham,27/8/2025,Exhibition,Bristol City,11749
Fulham,13/9/2025,Premier,Leeds United,27327
Fulham,20/9/2025,Premier,Brentford,26113
Fulham,23/9/2025,Exhibition,Cambridge United,16254
Crystal Palace,21/8/2025,Exhibition,Fredrikstad,23013
Crystal Palace,24/8/2025,Premier,Nottingham Forest,24876
Crystal Palace,13/9/2025,Premier,Sunderland,25154
Crystal Palace,27/9/2025,Premier,Liverpool,25118
Burnley,23/8/2025,Premier,Sunderland,21285
Burnley,26/8/2025,Exhibition,Derby County,7019
Burnley,14/9/2025,Premier,Liverpool,21678
Burnley,20/9/2025,Premier,Nottingham Forest,21475
Burnley,23/9/2025,Exhibition,Cardiff City,6010
Brentford,23/8/2025,Premier,Aston Villa,16838
Brentford,13/9/2025,Premier,Chelsea,16795
Brentford,16/9/2025,Premier,Aston Villa,15895
Brentford,27/9/2025,Premier,Manchester United,17193
Bournemouth,23/8/2025,Premier,Wolverhampton Wanderers,11070
Bournemouth,26/8/2025,Premier,Brentford,10499
Bournemouth,13/9/2025,Premier,Brighton & Hove Albion,11167
Bournemouth,21/9/2025,Premier,Newcastle United,11212

























