Date,Home,Away,Score,Result,Predicted
2026-01-03,Nott'ham Forest,Aston Villa,1-3,Away Win,Away Win
2026-01-03,Burnley,Brighton,0-2,Away Win,Tie
2026-01-03,Wolves,West Ham,3-0,Home Win,Tie
2026-01-03,Aston Villa,Nott'ham Forest,3-1,Home Win,Home Win
2026-01-03,West Ham,Wolves,0-3,Away Win,Tie
2026-01-03,Bournemouth,Arsenal,2-3,Away Win,Home Win
2026-01-03,Arsenal,Bournemouth,3-2,Home Win,Away Win
2026-01-03,Brighton,Burnley,2-0,Home Win,Tie
2026-01-04,Fulham,Liverpool,2-2,Tie,Away Win
2026-01-04,Everton,Brentford,2-4,Away Win,Away Win
2026-01-04,Manchester Utd,Leeds United,1-1,Tie,Home Win
2026-01-04,Manchester City,Chelsea,1-1,Tie,Home Win
2026-01-04,Newcastle Utd,Crystal Palace,2-0,Home Win,Home Win
2026-01-04,Sunderland,Tottenham,1-1,Tie,Tie
2026-01-04,Liverpool,Fulham,2-2,Tie,Home Win
2026-01-04,Leeds United,Manchester Utd,1-1,Tie,Away Win
2026-01-04,Crystal Palace,Newcastle Utd,0-2,Away Win,Away Win
2026-01-04,Tottenham,Sunderland,1-1,Tie,Tie
2026-01-04,Brentford,Everton,4-2,Home Win,Home Win
2026-01-04,Chelsea,Manchester City,1-1,Tie,Away Win
