Rk,Team,Date,SoT,Cmp,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
1,Arsenal,2026-01-08,4,25,7,,Liverpool,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,0,9,0.00,0.00,4,44.4,15.6,0,414,493,84.0,7,33,13,1,50,7571,1766,163,177,92.1,226,253,89.3,25,53,47.2,11,6,3,5,3,3,13,23.1,10,7,3,4,7,18,16,2,Match Report
2,Liverpool,2026-01-08,0,26,10,@,Arsenal,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,0,8,0.00,,0,0.0,23.2,2,469,541,86.7,3,48,3,0,32,7443,2264,253,266,95.1,181,199,91.0,26,55,47.3,10,7,8,2,0,8,16,50.0,8,10,4,6,8,18,24,0,Match Report
3,Manchester Utd,2026-01-07,8,39,17,@,Burnley,eng Premier League,D 2-2,2,2,0,65,2,0,0,0,2,30,0.07,0.25,8,26.7,16.9,0,545,637,85.6,21,53,18,8,48,9180,3300,256,281,91.1,238,265,89.8,39,64,60.9,19,16,13,5,1,10,20,50.0,10,17,5,12,6,25,14,0,Match Report
4,Tottenham,2026-01-07,4,31,12,@,Bournemouth,eng Premier League,L 2-3,2,3,-1,58,2,0,0,0,2,16,0.13,0.50,4,25.0,15.7,0,364,484,75.2,11,14,6,1,28,6390,2396,157,191,82.2,166,192,86.5,31,76,40.8,24,16,8,13,3,14,18,77.8,4,12,5,7,5,29,15,1,Match Report
5,Crystal Palace,2026-01-07,5,22,15,,Aston Villa,eng Premier League,D 0-0,0,0,0,41,0,0,0,0,0,11,0.00,0.00,5,45.5,14.3,0,320,405,79.0,7,17,11,3,36,5447,1832,152,170,89.4,141,161,87.6,22,57,38.6,20,6,12,5,3,9,16,56.3,7,15,5,10,4,24,32,0,Match Report
6,Bournemouth,2026-01-07,3,24,12,,Tottenham,eng Premier League,W 3-2,3,2,+1,42,3,0,0,0,3,11,0.27,1.00,3,27.3,18.5,1,262,357,73.4,5,14,5,2,28,4610,1663,111,133,83.5,119,136,87.5,24,66,36.4,17,8,8,7,2,14,28,50.0,14,12,5,7,10,27,36,0,Match Report
7,Leeds United,2026-01-07,5,29,9,@,Newcastle Utd,eng Premier League,L 3-4,3,4,-1,38,2,1,1,0,3,13,0.15,0.40,5,38.5,14.3,0,266,366,72.7,9,32,7,1,36,4893,2149,132,156,84.6,101,130,77.7,29,67,43.3,17,7,5,8,4,10,18,55.6,8,9,5,4,16,33,33,0,Match Report
8,Aston Villa,2026-01-07,3,34,9,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,59,0,0,0,0,0,15,0.00,0.00,3,20.0,14.1,0,489,576,84.9,11,28,11,2,54,8757,2851,198,219,90.4,251,278,90.3,34,55,61.8,14,8,4,7,3,5,7,71.4,2,9,4,5,9,23,22,0,Match Report
9,Wolves,2026-01-07,4,38,13,@,Everton,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,1,13,0.08,0.25,4,30.8,18.6,0,380,474,80.2,12,47,10,5,39,6634,2244,161,181,89.0,169,189,89.4,38,78,48.7,16,9,11,4,1,8,16,50.0,8,13,3,10,5,21,24,0,Match Report
10,Sunderland,2026-01-07,2,36,8,@,Brentford,eng Premier League,L 0-3,0,3,-3,49,0,0,1,1,0,10,0.00,0.00,2,20.0,20.5,1,330,419,78.8,5,26,3,0,27,5985,2229,133,149,89.3,148,167,88.6,36,78,46.2,7,6,3,3,1,6,10,60.0,4,8,3,5,10,17,25,3,Match Report
