Rk,Team,Date,SoT,GF,Poss,Cmp,Succ,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
1,Arsenal,2025-08-31,1,0,47,35,3,10,@,Liverpool,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,0,11,0.00,0.00,1,9.1,17.5,1,327,411,79.6,5,23,3,0,28,5988,2054,153,176,86.9,134,148,90.5,35,71,49.3,9,3,33.3,5,55.6,14,6,5,5,4,7,14,50.0,7,10,4,6,9,23,20,1,Match Report
2,Crystal Palace,2025-08-31,3,3,41,34,6,5,@,Aston Villa,eng Premier League,W 3-0,3,0,+3,41,2,1,1,0,3,5,0.40,0.67,3,60.0,14.9,0,342,414,82.6,4,26,5,0,24,6228,2202,139,154,90.3,159,175,90.9,34,58,58.6,9,6,66.7,2,22.2,26,16,18,6,2,8,15,53.3,7,5,1,4,10,36,43,1,Match Report
3,West Ham,2025-08-31,7,3,42,31,8,10,@,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,42,2,1,1,0,3,11,0.18,0.29,7,63.6,13.3,0,344,425,80.9,11,14,5,2,23,5612,1952,172,186,92.5,123,141,87.2,31,63,49.2,23,8,34.8,11,47.8,16,9,13,1,2,9,15,60.0,6,10,5,5,6,22,36,0,Match Report
4,Liverpool,2025-08-31,3,1,53,45,7,17,,Arsenal,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,1,9,0.11,0.33,3,33.3,22.4,1,386,465,83.0,7,31,6,1,28,7509,2422,140,161,87.0,193,207,93.2,45,82,54.9,15,7,46.7,7,46.7,11,9,6,4,1,5,8,62.5,3,17,7,10,7,18,32,0,Match Report
5,Aston Villa,2025-08-31,4,0,59,55,7,9,,Crystal Palace,eng Premier League,L 0-3,0,3,-3,59,0,0,0,0,0,13,0.00,0.00,4,30.8,16.6,0,503,586,85.8,10,53,9,1,51,9808,2812,177,192,92.2,266,288,92.4,55,84,65.5,18,7,38.9,8,44.4,11,5,2,7,2,2,8,25.0,6,9,1,8,6,17,16,0,Match Report
6,Manchester City,2025-08-31,3,1,63,29,14,11,@,Brighton,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,1,12,0.08,0.33,3,25.0,15.1,0,513,589,87.1,8,31,5,0,42,8490,2699,265,286,92.7,210,227,92.5,29,52,55.8,29,14,48.3,9,31.0,15,7,9,6,0,6,14,42.9,8,11,2,9,9,24,15,0,Match Report
7,Brighton,2025-08-31,6,2,37,22,8,15,,Manchester City,eng Premier League,W 2-1,2,1,+1,37,1,1,1,0,2,11,0.09,0.17,6,54.5,16.9,0,251,340,73.8,9,19,4,0,17,4575,1654,113,128,88.3,110,127,86.6,22,64,34.4,15,8,53.3,6,40.0,17,13,8,9,0,9,23,39.1,14,15,1,14,8,25,11,1,Match Report
8,Nott'ham Forest,2025-08-31,3,0,58,21,6,11,,West Ham,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,0,11,0.00,0.00,3,27.3,15.9,0,491,596,82.4,8,53,8,1,59,8002,2596,234,257,91.1,223,258,86.4,21,54,38.9,18,6,33.3,9,50.0,19,14,5,6,8,11,19,57.9,8,11,0,11,6,25,17,0,Match Report
9,Manchester Utd,2025-08-30,5,3,62,46,5,12,,Burnley,eng Premier League,W 3-2,3,2,+1,62,1,1,1,0,2,25,0.04,0.20,5,20.0,14.7,0,449,558,80.5,19,37,9,7,48,7714,2815,236,265,89.1,154,184,83.7,46,76,60.5,12,5,41.7,6,50.0,16,9,6,7,3,2,5,40.0,3,12,2,10,3,19,20,0,Match Report
10,Tottenham,2025-08-30,1,0,61,34,10,15,,Bournemouth,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,0,5,0.00,0.00,1,20.0,19.0,0,424,531,79.8,3,30,7,1,41,8233,2900,146,164,89.0,242,272,89.0,34,79,43.0,34,10,29.4,17,50.0,16,8,7,8,1,8,16,50.0,8,15,5,10,4,20,33,1,Match Report
