Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
1,Martín Zubimendi,2025-2026,26,es ESP,Arsenal,eng Premier League,5,449,5.0,5,0,0,2,0,2,2,0,0,0,MF,3ee0dd59
2,Joshua Zirkzee,2025-2026,24,nl NED,Manchester Utd,eng Premier League,2,71,0.8,0,2,3,0,0,0,0,0,0,0,FWMF,028e70b9
3,Oleksandr Zinchenko,2025-2026,28,ua UKR,Nott'ham Forest,eng Premier League,1,90,1.0,1,0,0,0,0,0,0,0,0,0,DF,51cf8561
4,Leny Yoro,2025-2026,19,fr FRA,Manchester Utd,eng Premier League,5,342,3.8,4,1,0,0,0,0,0,0,0,0,DF,6763f716
5,Ryan Yates,2025-2026,27,eng ENG,Nott'ham Forest,eng Premier League,3,28,0.3,0,3,2,0,0,0,0,0,0,0,MF,c1fe2a48
6,Yehor Yarmoliuk,2025-2026,21,ua UKR,Brentford,eng Premier League,5,438,4.9,5,0,0,0,0,0,0,0,0,0,MF,907a5d7c
7,Granit Xhaka,2025-2026,32,ch SUI,Sunderland,eng Premier League,5,450,5.0,5,0,0,0,2,2,0,0,0,0,MF,e61b8aee
8,James Wright,2025-2026,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,GK,9417a430
9,Joe Worrall,2025-2026,28,eng ENG,Burnley,eng Premier League,3,21,0.2,0,3,2,0,0,0,0,0,0,0,DF,a5212312
10,Chris Wood,2025-2026,33,nz NZL,Nott'ham Forest,eng Premier League,5,371,4.1,5,0,0,2,0,2,2,0,0,0,FW,4e9a0555
11,Nick Woltemade,2025-2026,23,de GER,Newcastle Utd,eng Premier League,2,147,1.6,2,0,0,1,0,1,1,0,0,0,FW,7ca196eb
12,Florian Wirtz,2025-2026,22,de GER,Liverpool,eng Premier League,5,364,4.0,4,1,0,0,0,0,0,0,0,0,MFFW,e7fcf289
13,Ben Winterburn,2025-2026,20,eng ENG,Bournemouth,eng Premier League,1,7,0.1,0,1,0,0,0,0,0,0,0,0,MF,ba31eee2
14,Harry Wilson,2025-2026,28,wls WAL,Fulham,eng Premier League,5,294,3.3,3,2,0,1,0,1,1,0,0,0,FW,c6dc9ecd
15,Callum Wilson,2025-2026,33,eng ENG,West Ham,eng Premier League,5,173,1.9,1,4,0,1,0,1,1,0,0,0,FW,c596fcb0
16,Joe Willock,2025-2026,25,eng ENG,Newcastle Utd,eng Premier League,2,87,1.0,1,1,2,0,0,0,0,0,0,0,MF,a3b03921
17,Estêvão Willian,2025-2026,18,br BRA,Chelsea,eng Premier League,4,186,2.1,3,1,0,0,1,1,0,0,0,0,FW,2eda11b1
18,Neco Williams,2025-2026,24,wls WAL,Nott'ham Forest,eng Premier League,5,450,5.0,5,0,0,1,0,1,1,0,0,0,DF,dd323728
19,Mats Wieffer,2025-2026,25,nl NED,Brighton,eng Premier League,3,180,2.0,2,1,0,0,0,0,0,0,0,0,DF,4876c9ab
20,Ben White,2025-2026,27,eng ENG,Arsenal,eng Premier League,1,70,0.8,1,0,2,0,0,0,0,0,0,0,DF,35e413f1
21,Adam Wharton,2025-2026,21,eng ENG,Crystal Palace,eng Premier League,4,300,3.3,4,0,0,0,0,0,0,0,0,0,MF,4b542852
